user_id,user_name,message_content,send_time,message_type,chat_room,device_type,message_length
user_1483,吴敏,[image_message],2024-05-10 22:46:18,image,生活闲聊群,Mac,100
user_1720,周娜,这个问题怎么解决？,2024-03-16 23:31:33,text,技术交流群,Android,9
user_1568,赵勇,[voice_message],2024-03-06 16:29:06,voice,学习小组,Windows,57
user_1746,王涛,[voice_message],2024-10-23 18:58:15,voice,游戏开黑群,iOS,93
user_1536,周勇,[image_message],2024-10-25 10:55:14,image,游戏开黑群,Android,76
user_1339,陈涛,[image_message],2024-06-16 14:06:58,image,技术交流群,Android,99
user_1975,刘强,大家好！,2024-07-10 23:11:23,text,游戏开黑群,Web,4
user_1815,杨强,[voice_message],2024-01-11 17:17:12,voice,生活闲聊群,Windows,61
user_1976,刘磊,代码已经提交,2024-05-07 10:02:37,text,技术交流群,Mac,6
user_1850,李磊,[voice_message],2024-06-05 11:27:32,voice,学习小组,Android,91
user_1291,陈伟,[voice_message],2024-07-20 16:32:59,voice,生活闲聊群,Windows,10
user_1319,吴丽,[voice_message],2024-03-28 02:36:58,voice,游戏开黑群,Windows,98
user_1303,黄敏,[voice_message],2024-02-10 01:00:09,voice,工作通知群,Windows,67
user_1333,王娜,[voice_message],2024-03-29 15:47:19,voice,游戏开黑群,Windows,82
user_1259,黄娟,[voice_message],2024-09-09 11:15:28,voice,技术交流群,iOS,79
user_1915,张丽,[voice_message],2024-09-21 00:16:58,voice,学习小组,Web,67
user_1944,陈敏,服务器挂了，紧急处理,2024-01-16 08:32:00,text,游戏开黑群,Web,10
user_1531,陈磊,[image_message],2024-10-05 07:42:47,image,游戏开黑群,Web,66
user_1999,杨洋,[voice_message],2024-03-05 08:00:34,voice,生活闲聊群,Windows,20
user_1644,吴磊,[image_message],2024-02-08 04:48:54,image,生活闲聊群,Web,15
user_1372,周娟,[image_message],2024-01-18 11:24:07,image,学习小组,Android,18
user_1766,杨涛,[image_message],2024-01-16 22:02:14,image,工作通知群,Windows,90
user_1804,李磊,这个问题怎么解决？,2024-01-30 14:23:10,text,技术交流群,iOS,9
user_1914,王杰,生日快乐！,2024-06-20 20:28:35,text,工作通知群,iOS,5
user_1926,张杰,[image_message],2024-02-02 09:43:50,image,技术交流群,Android,25
user_1881,吴磊,[image_message],2024-02-09 19:50:22,image,游戏开黑群,Mac,98
user_1155,黄磊,会议几点开始？,2024-06-04 21:31:58,text,游戏开黑群,Android,7
user_1180,李芳,项目进度如何？,2024-05-26 08:24:12,text,游戏开黑群,Android,7
user_1393,李磊,晚上一起吃饭吗？,2024-07-25 23:01:40,text,工作通知群,Mac,8
user_1639,周强,新人报到，请多关照,2024-05-18 14:56:51,text,工作通知群,Android,9
user_1829,王娜,[voice_message],2024-07-12 19:04:56,voice,生活闲聊群,iOS,50
user_1047,周丽,[image_message],2024-10-26 01:13:16,image,生活闲聊群,iOS,12
user_1783,李勇,[voice_message],2024-05-24 18:12:39,voice,学习小组,Web,52
user_1894,张杰,[image_message],2024-01-19 08:40:35,image,生活闲聊群,Mac,69
user_1081,黄磊,项目进度如何？,2024-06-25 01:36:56,text,生活闲聊群,Web,7
user_1059,吴芳,这个问题怎么解决？,2024-06-27 01:23:00,text,学习小组,Android,9
user_1651,王强,[voice_message],2024-12-22 06:08:32,voice,学习小组,Web,90
user_1756,李杰,[voice_message],2024-03-26 13:36:46,voice,游戏开黑群,Web,94
user_1127,张静,生日快乐！,2024-03-16 03:49:05,text,工作通知群,Windows,5
user_1420,李敏,[voice_message],2024-08-13 16:22:45,voice,游戏开黑群,iOS,39
user_1864,张丽,新人报到，请多关照,2024-09-23 02:48:21,text,工作通知群,iOS,9
user_1403,吴杰,谢谢分享！,2024-07-11 10:26:31,text,游戏开黑群,Windows,5
user_1518,李秀英,学习到了新知识,2024-01-26 17:15:39,text,工作通知群,Web,7
user_1711,赵敏,明白了,2024-10-10 09:25:56,text,技术交流群,iOS,3
user_1877,杨军,求助，这个bug怎么解决,2024-08-17 02:48:13,text,生活闲聊群,Windows,12
user_1311,王伟,有人在线吗？,2024-10-04 04:31:09,text,技术交流群,Windows,6
user_1969,刘磊,[voice_message],2024-02-04 15:58:57,voice,工作通知群,Mac,96
user_1902,周洋,推荐一本好书,2024-03-24 10:39:29,text,工作通知群,Web,6
user_1223,陈娟,[voice_message],2024-01-05 23:34:12,voice,学习小组,Web,43
user_1465,王秀英,明白了,2024-10-10 02:48:48,text,游戏开黑群,Mac,3
user_1490,张娜,[image_message],2024-06-21 17:21:09,image,生活闲聊群,Web,25
user_1753,张洋,[voice_message],2024-03-15 07:17:46,voice,技术交流群,Android,93
user_1061,周芳,有人会Python吗？,2024-02-13 00:36:52,text,学习小组,Windows,11
user_1808,黄静,[voice_message],2024-10-15 23:08:55,voice,工作通知群,Windows,94
user_1473,赵娜,谢谢分享！,2024-05-31 10:35:25,text,游戏开黑群,Mac,5
user_1864,吴静,[voice_message],2024-03-26 20:25:36,voice,技术交流群,Web,19
user_1311,杨娜,[image_message],2024-05-04 22:37:50,image,工作通知群,iOS,45
user_1849,张强,新人报到，请多关照,2024-01-07 16:31:07,text,生活闲聊群,Web,9
user_1236,赵洋,[image_message],2024-11-10 13:26:25,image,工作通知群,Android,84
user_1344,陈杰,有人在线吗？,2024-09-11 10:18:54,text,技术交流群,Web,6
user_1837,陈军,[voice_message],2024-04-21 05:29:22,voice,工作通知群,Android,96
user_1270,王杰,API文档更新了,2024-09-17 00:59:10,text,学习小组,Windows,8
user_1384,杨伟,[image_message],2024-10-02 21:53:45,image,技术交流群,Windows,80
user_1188,李涛,有人在线吗？,2024-12-18 09:29:35,text,学习小组,Mac,6
user_1065,刘磊,[image_message],2024-06-15 17:36:10,image,工作通知群,Windows,54
user_1987,周静,[image_message],2024-03-28 09:53:47,image,工作通知群,Mac,79
user_1371,杨洋,[voice_message],2024-12-05 03:42:22,voice,学习小组,Windows,44
user_1904,黄娟,[image_message],2024-08-10 01:50:26,image,游戏开黑群,iOS,72
user_1537,李洋,[image_message],2024-05-22 18:28:32,image,工作通知群,iOS,34
user_1563,杨洋,[image_message],2024-04-07 02:55:13,image,工作通知群,Android,41
user_1774,李勇,周末有什么计划？,2024-01-30 17:22:56,text,学习小组,Windows,8
user_1933,吴秀英,[voice_message],2024-04-17 17:03:33,voice,学习小组,Web,70
user_1534,刘秀英,[voice_message],2024-02-25 17:19:59,voice,游戏开黑群,Web,90
user_1999,黄军,生日快乐！,2024-03-06 07:31:38,text,技术交流群,iOS,5
user_1752,陈芳,[image_message],2024-08-12 04:02:02,image,工作通知群,Web,94
user_1003,赵娜,[image_message],2024-05-22 00:56:04,image,生活闲聊群,iOS,37
user_1267,刘洋,谢谢分享！,2024-07-07 00:58:58,text,学习小组,Windows,5
user_1940,王杰,[image_message],2024-05-20 09:27:39,image,生活闲聊群,Web,40
user_1436,陈娟,[voice_message],2024-04-28 21:20:26,voice,学习小组,Android,78
user_1232,刘丽,[voice_message],2024-03-15 08:46:20,voice,学习小组,Web,70
user_1102,杨娟,生日快乐！,2024-09-18 22:38:20,text,学习小组,Windows,5
user_1466,赵芳,[image_message],2024-04-30 17:21:46,image,技术交流群,Web,63
user_1920,杨伟,[voice_message],2024-09-03 22:34:38,voice,学习小组,Android,70
user_1781,刘伟,[image_message],2024-09-15 15:22:46,image,学习小组,Mac,55
user_1098,周涛,[voice_message],2024-06-15 23:14:09,voice,生活闲聊群,iOS,92
user_1090,陈静,[image_message],2024-06-09 16:40:39,image,工作通知群,Web,87
user_1610,黄杰,[image_message],2024-12-20 21:16:54,image,工作通知群,Mac,78
user_1419,黄杰,[voice_message],2024-05-31 18:40:14,voice,生活闲聊群,Windows,70
user_1304,张洋,[image_message],2024-01-04 06:26:44,image,工作通知群,Android,47
user_1138,周敏,学习到了新知识,2024-01-12 01:09:53,text,工作通知群,Windows,7
user_1618,杨娜,明白了,2024-09-02 18:00:40,text,技术交流群,Mac,3
user_1898,张军,[voice_message],2024-02-29 11:27:43,voice,游戏开黑群,Android,63
user_1175,赵伟,大家好！,2024-04-26 11:05:10,text,生活闲聊群,Windows,4
user_1318,赵娜,学习到了新知识,2024-08-02 04:56:21,text,技术交流群,Mac,7
user_1671,周强,[voice_message],2024-11-12 19:45:46,voice,游戏开黑群,Windows,84
